"Fiume","Idrometro","Regione","ASotto","Adesso","ASopra","Data","Ora","Differenza","NA","NA","NA","NA","NA","NA"
"Natisone","Azzida","Friuli",0,"0,20","1,08","0,4","2017-09-12","19:30:00","1,08","2017-09-12","19:30:00","1,08","2017-09-12","19:30:00"
"Natisone","Cividale","Friuli",0,"0,05","1,8","0,35","2017-09-12","19:30:00","1,8","2017-09-12","19:30:00","1,8","2017-09-12","19:30:00"
"Natisone","Pulfero","Friuli",0,"0,25","2,1","0,8","2017-09-12","19:00:00","2,1","2017-09-12","19:00:00","2,1","2017-09-12","19:00:00"
"Piave","Belluno","Veneto",0,"1,1","2,19","1,3","2017-09-12","19:30:00","2.19","2017-09-12","19:30:00","2.19","2017-09-12","19:30:00"
"Piave","Nervesa","Veneto",0,"0,20","0,65","0,4","2017-09-12","19:30:00","0.65","2017-09-12","19:30:00","0.65","2017-09-12","19:30:00"
"Piave","Ponte della Lasta","Veneto",0,"0,3","1,09","0,5","2017-09-12","19:30:00","1.09","2017-09-12","19:30:00","1.09","2017-09-12","19:30:00"
"Piave","Segusino","Veneto",0,"-1,2","0,59","-0,8","2017-09-12","19:30:00","0.59","2017-09-12","19:30:00","0.59","2017-09-12","19:30:00"
"Po","Ficarolo","Veneto",0,"-5","-3,87","-3","2017-09-12","19:30:00","-3.87","2017-09-12","19:30:00","-3.87","2017-09-12","19:30:00"
"Settimana","Briglia","Friuli",0,"-0,1","0,03","0,10","2017-09-12","19:30:00","0,03","2017-09-12","19:30:00","0,03","2017-09-12","19:30:00"
"Stella","Pocenia","Friuli",0,"1","2,43","1,4","2017-09-12","19:30:00","2,43","2017-09-12","19:30:00","2,43","2017-09-12","19:30:00"
"Tagliamento","Braulins","Friuli",0,"0,01","0,88","0,8","2017-09-12","19:30:00","0,88","2017-09-12","19:30:00","0,88","2017-09-12","19:30:00"
"Tagliamento","Caprizzi","Friuli",0,"0,5","1,26","0,8","2017-09-12","19:30:00","1,26","2017-09-12","19:30:00","1,26","2017-09-12","19:30:00"
"Tagliamento","Dignano","Friuli",0,"0,25","0,91","0,7","2017-09-12","19:30:00","0,91","2017-09-12","19:30:00","0,91","2017-09-12","19:30:00"
"Tagliamento","Forni di Sopra","Friuli",0,"0,1","0,3","0,2","2017-09-12","19:30:00","0,3","2017-09-12","19:30:00","0,3","2017-09-12","19:30:00"
"Tagliamento","Invillino","Friuli",0,"1,4","2,1","1,6","2017-09-12","19:30:00","2,1","2017-09-12","19:30:00","2,1","2017-09-12","19:30:00"
"Tagliamento","Ponte Avons","Friuli",0,"-1","0,01","0,25","2017-09-12","19:30:00","0,01","2017-09-12","19:30:00","0,01","2017-09-12","19:30:00"
"Tagliamento","Venzone","Friuli",0,"-0,4","1,36","0,25","2017-09-12","19:30:00","1,36","2017-09-12","19:30:00","1,36","2017-09-12","19:30:00"
"Tagliamento","Villuzza","Friuli",NA,"-0,1",NA,"0,8",NA,NA,NA,NA,NA,NA,NA,NA
"Torre","Cerneglons","Friuli",0,"-0,1","1,44","0,8","2017-09-12","19:30:00","1,44","2017-09-12","19:30:00","1,44","2017-09-12","19:30:00"
"Torre","Ponte di Nimis","Friuli",0,"0,2","0,65","0,45","2017-09-12","19:30:00","0,65","2017-09-12","19:30:00","0,65","2017-09-12","19:30:00"
"Torre","Tarcento","Friuli",0,"-0,2","0,37","0,15","2017-09-12","19:30:00","0,37","2017-09-12","19:30:00","0,37","2017-09-12","19:30:00"
"Torre","Zompitta Idro","Friuli",0,"0,3","1,33","0,9","2017-09-12","19:30:00","1,33","2017-09-12","19:30:00","1,33","2017-09-12","19:30:00"
